subject_id,dis,hp_class,h_class,v_class,image_path
0001,2,2,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_0P_0V_5H.jpg
0001,2,2,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_0P_-10V_15H.jpg
0001,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_-15P_10V_-5H.jpg
0001,2,3,5,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_-15P_0V_10H.jpg
0001,2,2,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0001/0001_2m_0P_-10V_5H.jpg
0002,2,4,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_30P_-10V_-10H.jpg
0002,2,4,3,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_-30P_0V_0H.jpg
0002,2,4,4,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_30P_0V_-5H.jpg
0002,2,3,4,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_15P_-10V_-5H.jpg
0002,2,4,3,1,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0002/0002_2m_30P_0V_0H.jpg
0003,2,4,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0003/0003_2m_-30P_10V_15H.jpg
0003,2,2,5,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0003/0003_2m_0P_-10V_-10H.jpg
0003,2,3,6,2,/content/drive/MyDrive/Columbia_Gaze_Data_Set/data/Columbia Gaze Data Set/0003/0003_2m_-15P_-10V_15H.jpg
